POTENTIALID,ACTIVITY_TIMESTAMP,ACTIVITY,CONTACTID,ACCOUNTID,INVOICEGRANDTOTAL,DEALSTAGE,EMAIL_VOC,CALL_VOC,EVENT_VOC,QUOTE_VOC,SALESORDER_VOC,INVOICE_VOC,CLASS_TAG
01421d86-5916-4993-b3da-4997d981549f,2025-06-11T11:46:23.195106,mail,CONTACT22,ACCOUNT22,,qualification,"{""sentiment"": ""neutral"", ""intent"": ""request"", ""emotion"": ""neutral""}",,,,,,closed won
01421d86-5916-4993-b3da-4997d981549f,2025-06-11T11:56:23.195106,call,CONTACT22,ACCOUNT22,,qualification,,"{""sentiment"": ""neutral"", ""intent"": ""others"", ""emotion"": ""neutral""}",,,,,closed won
01421d86-5916-4993-b3da-4997d981549f,2025-06-11T12:06:23.195106,call,CONTACT22,ACCOUNT22,,needs analysis,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""trust""}",,,,,closed won
01421d86-5916-4993-b3da-4997d981549f,2025-06-11T12:16:23.195106,meeting,CONTACT22,ACCOUNT22,,proposal,,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""gratitude""}",,,,closed won
01421d86-5916-4993-b3da-4997d981549f,2025-06-11T12:26:23.195106,call,CONTACT22,ACCOUNT22,,negotiation,,"{""sentiment"": ""positive"", ""intent"": ""gratitude"", ""emotion"": ""happy""}",,,,,closed won
01421d86-5916-4993-b3da-4997d981549f,2025-06-11T12:36:23.195106,quote,CONTACT22,ACCOUNT22,,closed won,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,closed won
01421d86-5916-4993-b3da-4997d981549f,2025-06-11T12:46:23.195106,salesorder,CONTACT22,ACCOUNT22,,closed won,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,closed won
01421d86-5916-4993-b3da-4997d981549f,2025-06-11T12:56:23.195106,invoice,CONTACT22,ACCOUNT22,6388,closed won,,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",closed won
03aa496b-6ba7-4091-839c-a8a1f91c3b34,2025-06-02T11:46:23.195106,mail,CONTACT24,ACCOUNT24,,qualification,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""enthusiasm""}",,,,,,closed won
03aa496b-6ba7-4091-839c-a8a1f91c3b34,2025-06-02T11:56:23.195106,call,CONTACT24,ACCOUNT24,,qualification,,"{""sentiment"": ""neutral"", ""intent"": ""others"", ""emotion"": ""neutral""}",,,,,closed won
